clouds.all,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain,rain.1h,rain.3h,snow,snow.3h,sys.country,weather,wind.deg,wind.gust,wind.speed
0,32.8752,13.1875,1553551354,2210247,1017.17,97,1018.26,1018.26,60.84,60.84,60.84,Tripoli,,,,,,LY,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",173.5,,7.18
64,-33.0153,27.9116,1553551354,1006984,1014.53,100,1019.1,1019.1,69.39,69.39,69.39,East London,,,,,,ZA,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",214.0,,13.56
0,-33.929,18.4174,1553551090,3369157,,77,1020.0,,62.8,64.0,62.01,Cape Town,,,,,,ZA,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",180.0,,24.16
92,71.9801,102.4743,1553551355,2022572,1007.65,85,1012.42,1012.42,20.52,20.52,20.52,Khatanga,,,,,,RU,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",236.0,,15.01
75,54.7698,-101.879,1553547600,5954718,,40,1024.0,,35.6,35.6,35.6,Flin Flon,,,,,,CA,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",190.0,,12.75
75,35.7333,140.8333,1553551339,2112802,,87,1013.0,,45.48,48.2,41.0,Hasaki,,,,,,JP,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10.0,,8.05
40,43.6521,51.158,1553549400,610612,,100,1020.0,,33.8,33.8,33.8,Aktau,,,,,,KZ,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",30.0,,4.47
0,-28.55,16.4333,1553551357,3354071,1015.33,90,1015.98,1015.98,61.83,61.83,61.83,Oranjemund,,,,,,NA,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",154.0,,27.2
0,-22.2764,166.4572,1553549400,2139521,,65,1015.0,,78.8,78.8,78.8,Noumea,,,,,,NC,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",,,3.36
88,69.3833,178.4167,1553551357,2123814,1003.01,90,1005.78,1005.78,9.36,9.36,9.36,Leningradskiy,,,,,,RU,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",285.0,,9.64
